Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,93,0,1,1,0,471,0,0,0,0,199,278,212,1466,160577,154
99,3592512,99,59,0,0,0,0,185,0,0,0,0,180,210,188,338,152519,132
98,3556224,98,56,0,0,0,0,185,0,0,0,0,189,217,195,334,151606,135
97,3519936,97,59,0,0,0,0,188,0,0,0,0,178,220,189,304,151763,130
96,3483648,96,64,0,0,0,0,223,0,0,0,0,183,218,187,296,151021,141
95,3447360,95,67,0,0,0,0,192,0,0,0,0,191,215,196,310,147162,130
94,3411072,94,62,0,0,0,0,180,0,0,0,0,183,212,188,306,146781,133
93,3374784,93,67,0,0,0,0,187,0,0,0,0,184,236,192,304,148302,129
92,3338496,92,64,0,0,0,0,185,0,0,0,0,182,216,186,300,147211,132
91,3302208,91,68,0,0,0,0,195,0,0,0,0,190,219,208,314,146454,131
90,3265920,90,63,0,0,0,0,473,0,0,0,0,213,227,195,687,150072,170
89,3229632,89,89,0,0,0,0,256,0,0,0,0,178,220,198,307,147132,131
88,3193344,88,58,0,0,0,0,191,0,0,0,0,175,210,189,308,145133,131
87,3157056,87,59,0,0,0,0,183,0,0,0,0,178,213,190,305,143829,135
86,3120768,86,87,0,0,0,0,181,0,0,0,0,177,210,191,301,143319,131
85,3084480,85,65,0,0,0,0,188,0,0,0,0,190,213,199,302,146985,132
84,3048192,84,65,0,0,0,0,191,0,0,0,0,178,226,199,303,145184,129
83,3011904,83,57,0,0,0,0,181,0,0,0,0,178,207,185,304,144469,148
82,2975616,82,76,0,0,0,0,184,0,0,0,0,182,230,195,306,145509,135
81,2939328,81,65,0,0,0,0,191,0,0,0,0,189,216,195,338,145978,136
80,2903040,80,60,0,0,0,0,181,0,0,0,0,175,213,192,332,145826,130
79,2866752,79,61,0,0,0,0,195,0,0,0,0,178,219,190,330,145833,137
78,2830464,78,67,0,0,0,0,192,0,0,0,0,190,216,205,309,145387,131
77,2794176,77,65,0,0,0,0,195,0,0,0,0,178,221,192,335,147575,130
76,2757888,76,61,0,0,0,0,182,0,0,0,0,189,246,190,304,145301,132
75,2721600,75,66,0,0,0,0,191,0,0,0,0,187,212,197,330,145885,129
74,2685312,74,68,0,0,0,0,194,0,0,0,0,207,219,192,341,145366,133
73,2649024,73,96,0,0,0,0,182,0,0,0,0,174,206,185,298,144892,133
72,2612736,72,62,0,0,0,0,185,0,0,0,0,183,211,194,309,145411,142
71,2576448,71,67,0,0,0,0,180,0,0,0,0,185,217,206,299,145227,132
70,2540160,70,75,0,0,0,0,189,0,0,0,0,187,212,186,333,146333,132
69,2503872,69,57,0,0,0,0,187,0,0,0,0,190,219,204,330,146031,166
68,2467584,68,64,0,0,0,0,195,0,0,0,0,180,215,228,311,144827,132
67,2431296,67,70,0,0,0,0,197,0,0,0,0,180,234,197,312,144839,133
66,2395008,66,60,0,0,0,0,186,0,0,0,0,186,216,193,312,145227,139
65,2358720,65,80,0,0,0,0,180,0,0,0,0,179,215,188,298,143923,130
64,2322432,64,62,0,0,0,0,183,0,0,0,0,176,207,185,326,147005,134
63,2286144,63,75,0,0,0,0,223,7,0,0,0,182,214,187,331,145910,133
62,2249856,62,72,0,0,0,0,190,0,0,0,0,177,228,192,306,144933,131
61,2213568,61,56,0,0,0,0,187,0,0,0,0,174,213,191,296,144291,129
60,2177280,60,75,0,0,0,0,197,0,0,0,0,189,216,197,308,145708,131
59,2140992,59,74,0,0,0,0,200,0,0,0,0,194,215,209,300,146311,134
58,2104704,58,59,0,0,0,0,182,0,0,0,0,182,210,190,296,145107,129
57,2068416,57,63,0,0,0,0,184,0,0,0,0,176,210,196,299,143953,131
56,2032128,56,64,0,0,0,0,189,0,0,0,0,190,212,193,342,145002,133
55,1995840,55,72,0,0,0,0,191,0,0,0,0,179,211,191,326,144648,131
54,1959552,54,57,0,0,0,0,185,0,0,0,0,174,245,192,300,145486,152
53,1923264,53,67,0,0,0,0,184,0,0,0,0,179,223,189,306,144471,131
52,1886976,52,61,0,0,0,0,183,0,0,0,0,178,217,195,299,144716,135
51,1850688,51,65,0,0,0,0,189,0,0,0,0,178,211,185,299,144427,131
50,1814400,50,78,0,0,0,0,192,0,0,0,0,191,210,197,298,144614,133
49,1778112,49,67,0,0,0,0,211,0,0,0,0,181,222,190,302,145358,129
48,1741824,48,56,0,0,0,0,188,0,0,0,0,183,206,188,294,144401,150
47,1705536,47,57,0,0,0,0,179,0,0,0,0,180,214,194,296,145073,133
46,1669248,46,60,0,0,0,0,196,0,0,0,0,182,212,191,297,143980,130
45,1632960,45,62,0,0,0,0,182,0,0,0,0,185,217,195,302,146013,133
44,1596672,44,62,0,0,0,0,192,0,0,0,0,179,212,187,296,144960,131
43,1560384,43,63,0,0,0,0,190,0,0,0,0,215,216,189,361,145114,160
42,1524096,42,69,0,0,0,0,187,0,0,0,0,176,206,187,331,145223,130
41,1487808,41,58,0,0,0,0,196,0,0,0,0,178,221,189,293,143588,135
40,1451520,40,70,0,0,0,0,183,0,0,0,0,176,218,185,290,143401,133
39,1415232,39,64,0,0,0,0,181,0,0,0,0,186,216,200,300,144067,181
38,1378944,38,58,0,0,0,0,183,0,0,0,0,185,216,228,300,143041,164
37,1342656,37,67,0,0,0,0,224,0,0,0,0,222,265,189,332,143816,131
36,1306368,36,78,0,0,0,0,189,0,0,0,0,177,221,199,320,143543,131
35,1270080,35,58,0,0,0,0,186,0,0,0,0,179,223,195,293,142846,131
34,1233792,34,72,0,0,0,0,186,0,0,0,0,175,210,187,289,142289,133
33,1197504,33,59,0,0,0,0,194,0,0,0,0,183,217,219,290,143864,143
32,1161216,32,65,0,0,0,0,192,0,0,0,0,181,216,191,287,143012,133
31,1124928,31,69,0,0,0,0,191,0,0,0,0,184,217,197,289,143470,134
30,1088640,30,57,0,0,0,0,178,0,0,0,0,174,211,189,287,141462,131
29,1052352,29,63,0,0,0,0,197,0,0,0,0,175,219,195,288,143347,130
28,1016064,28,70,0,0,0,0,206,0,0,0,0,223,249,195,334,144592,132
27,979776,27,63,0,0,0,0,218,0,0,0,0,185,223,204,291,143716,134
26,943488,26,82,0,0,0,0,187,0,0,0,0,182,212,185,289,142195,132
25,907200,25,55,0,0,0,0,182,0,0,0,0,179,214,189,288,141559,132
24,870912,24,64,0,0,0,0,182,0,0,0,0,177,214,185,287,142406,132
23,834624,23,63,0,0,0,0,188,0,0,0,0,178,221,185,291,142094,133
22,798336,22,64,0,0,0,0,220,0,0,0,0,179,225,194,288,143454,133
21,762048,21,67,0,0,0,0,189,0,0,0,0,180,212,189,286,143878,132
20,725760,20,75,0,0,0,0,183,0,0,0,0,182,211,191,285,143192,130
19,689472,19,61,0,0,0,0,183,0,0,0,0,176,207,188,285,141306,133
18,653184,18,53,0,0,0,0,175,0,0,0,0,174,204,184,283,140001,131
17,616896,17,52,0,0,0,0,176,0,0,0,0,171,206,184,285,139630,133
16,580608,16,53,0,0,0,0,177,0,0,0,0,169,202,186,285,139405,131
15,544320,15,50,0,0,0,0,173,0,0,0,0,171,203,181,282,138954,130
14,508032,14,61,0,0,0,0,180,0,0,0,0,172,208,184,284,138788,131
13,471744,13,53,0,0,0,0,177,0,0,0,0,169,207,185,282,140721,128
12,435456,12,53,0,0,0,0,178,0,0,0,0,171,204,183,281,139625,131
11,399168,11,58,0,0,0,0,181,0,0,0,0,181,213,187,289,139849,135
10,362880,10,55,0,0,0,0,188,0,0,10,0,190,220,193,283,137736,132
9,326592,9,55,0,0,0,0,179,0,0,0,0,179,211,199,283,139021,131
8,290304,8,63,0,0,0,0,182,0,0,0,0,184,211,184,279,140168,128
7,254016,7,52,0,0,0,0,171,0,0,0,0,168,201,179,274,139453,131
6,217728,6,57,0,0,0,0,175,0,0,0,0,170,203,183,272,139351,129
5,181440,5,68,0,0,0,0,179,0,0,0,0,178,214,188,274,138626,130
4,145152,4,63,0,0,0,0,182,0,0,0,0,179,212,195,278,139327,129
3,108864,3,87,0,0,0,0,217,0,0,0,0,184,204,182,276,140481,129
2,72576,2,61,0,0,0,0,182,0,0,0,0,174,210,187,293,139409,132
1,36288,1,52,0,0,0,0,175,0,0,0,0,174,211,186,277,138945,132
